old_name,new_name
"collaborative proposal: earthcube building blocks: planet microbe: enabling the discovery and integration of oceanographic 'omics, environmental and physiochemical data layers","collaborative proposal: earthcube building blocks: planet microbe: enabling the discovery and integration of oceanographic omics, environmental and physiochemical data layers"
collaborative research: broadening community use and adoption of strabospot,earthcube data capabilities: collaborative proposal: broadening community use and adoption of strabospot
"eager: collaborative research: earthcube building blocks, leveraging semantics and linked data for geoscience data sharing and dis covery","eager: collaborative research: earthcube building blocks, leveraging semantics and linked data for geoscience data sharing and discovery"
"eager: collaborative research: earthcube building blocks, leveraging | semantics and linked data for geoscience data sharing and discovery","eager: collaborative research: earthcube building blocks, leveraging semantics and linked data for geoscience data sharing and discovery"
earthcube building blocks: collaborative proposal: digital crust - a 4d exploratory environment for earth science research and learning,earthcube building blocks collaborative proposal: digital crust ? an exploratory environment for earth science research and learning
earthcube building blocks: collaborative proposal: an expanded implementation of cloudhosted real-time data services for the geosciences (chords),earthcube building blocks: collaborative proposal: an expanded implementation of cloud-hosted real-time data services for the geosciences (chords)
earth cube building blocks collaborative proposal: cloud-hosted real-time data services for the geosciences (chords),earthcube building blocks: collaborative proposal: cloud-hosted real-time data services for the geosciences (chords)
earthcube building blocks: collaborative proposal: deploying multi-facility cyberinfrastructure in commercial and private cloud-based systems,earthcube building blocks: collaborative proposal: deploying multi-facility cyberinfrastructure in commercial and private cloud-based systems. (geoscicloud)
earthcube building blocks: collaborative proposal: that dot is a world! drilling down from a statistics scatterplot to pre-populated case notebooks.,earthcube building blocks: collaborative proposal: that dot is a world! drilling down from a statistics scatterplot to pre-populated case notebooks
earthcube data capabilities: collaborative research: integration of reproducible methods into community cyberinfrastructure,earthcube data capabilities: collaborative research: integration of reproducibility into community cyberinfrastructure
earthcube data infrastructure: collaborative proposal: a unified experimental-natural digital data system for analysis of rock microstructure,earthcube data infrastructure: collaborative proposal: a unified experimental-natural digital data system for analysis of rock microstructures
earthcube data infrastructure: collaborative proposal: a unified experimental-natural digital data system for cataloging and analyzing rock microstructures,earthcube data infrastructure: collaborative proposal: a unified experimental-natural digital data system for analysis of rock microstructures